Language,Input Entropy [bits/symbol],Input Size [bytes],Algorithm,Time [s],Compressed Size [bytes],Entropy [bits/symbol],Average Code Length [bits/symbol],Ratio,Information Gain [bytes],Efficiency,Redundancy [bits/symbol],Stability Mean [s],Stability Min [s],Stability Max [s],Memory Usage [MiB],CPU Usage [%]
English,4.360543687282247,94007,Huffman,0.016025781631469727,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.22597488316870995,3.4058681652788967,0.016350269317626953,0.016350269317626953,0.016350269317626953,81.9921875,50.4
English,4.360543687282247,94007,Arithmetic,0.04931211471557617,8.0,3.3690445370407374,3.3690445370407374,8.510004574127459e-05,93999.0,1.0,0.0,0.04905295372009277,0.04905295372009277,0.04905295372009277,81.73046875,74.4
English,4.360543687282247,94007,ANS,0.286285400390625,91321.0,3.0859994910711666,3.0859994910711666,0.9714276596423671,2686.0,1.0,0.0,0.3043368411064148,0.1717243194580078,0.7153842449188232,83.04296875,94.5
French,4.444386490893333,84424,Huffman,0.015622138977050781,46249.25,0.9948176209895252,4.484069176978173,0.5478211172178528,38174.75,0.2218559932342381,3.4892515559886483,0.019909143447875977,0.019909143447875977,0.019909143447875977,83.47265625,97.7
French,4.444386490893333,84424,Arithmetic,0.040743350982666016,8.0,3.300691403445506,3.300691403445506,9.47597839476926e-05,84416.0,1.0,0.0,0.04245758056640625,0.04245758056640625,0.04245758056640625,82.29296875,151.2
French,4.444386490893333,84424,ANS,0.28034520149230957,82513.0,3.1620262451148116,3.1620262451148116,0.9773642566094949,1911.0,1.0,0.0,0.250971622467041,0.1587660312652588,0.3817288875579834,83.80078125,95.8
Hungary,4.716650978285431,85907,Huffman,0.022492647171020508,47388.125,0.9959374279952153,4.75039157947497,0.5516212299346969,38518.875,0.20965375408174033,3.7544541514797545,0.023522138595581055,0.023522138595581055,0.023522138595581055,83.51953125,0.0
Hungary,4.716650978285431,85907,Arithmetic,0.041996002197265625,8.0,3.223539406810047,3.223539406810047,9.31239596307635e-05,85899.0,1.0,0.0,0.040682077407836914,0.040682077407836914,0.040682077407836914,83.51953125,100.2
Hungary,4.716650978285431,85907,ANS,0.2783946990966797,79805.0,3.110024618191981,3.110024618191981,0.9289696997916351,6102.0,1.0,0.0,0.2635176944732666,0.153639554977417,0.5181784629821777,84.26171875,99.9
Polish,4.775151127942363,86982,Huffman,0.016350746154785156,47318.75,0.9963435435479531,4.804787652628639,0.5440062311742659,39663.25,0.2073647402508758,3.8084441090806864,0.011352062225341797,0.011352062225341797,0.011352062225341797,83.58203125,97.7
Polish,4.775151127942363,86982,Arithmetic,0.07073831558227539,8.0,3.2544940313184476,3.2544940313184476,9.197305189579453e-05,86974.0,1.0,0.0,0.07160305976867676,0.07160305976867676,0.07160305976867676,83.58203125,99.7
Polish,4.775151127942363,86982,ANS,0.21790719032287598,78786.0,3.172167409409645,3.172167409409645,0.9057736083327586,8196.0,1.0,0.0,0.25297516107559204,0.14036035537719727,0.5065383911132812,84.125,100.2
